Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T007_012,SE_T007_013,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T017_001,SE_T017_002,SE_T017_003,SE_T017_004,SE_T017_005,SE_T017_006,SE_T017_007,SE_T017_008,SE_T017_009,SE_T057_001,SE_T093_001,SE_T094_001,SE_T094_002,SE_T094_003,SE_T118_001,SE_T118_002,SE_T118_003,SE_T118_004,SE_T118_005
"34","04000US34","New Jersey","New Jersey","nj","040","00","ACSSF","0000001",,,,,"34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8899339,8899339,1210.09960975784,7354.22020488126,8899339,4343749,4555590,8899339,531181,550888,584367,355461,790737,1139704,1183903,1352589,1126102,703060,386100,195247,8899339,6068475,1215836,16422,801879,1633,577756,217338,3176139,2207108,1609473,597635,160268,437367,969031,423067,545964,70165,3578260,3176139,2034223,1141916,8721010,998549,1211160,2209709,6511301
"35","04000US35","New Mexico","New Mexico","nm","040","00","ACSSF","0000001",,,,,"35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2085287,2085287,17.1914169329261,121298.145937356,2085287,1034144,1051143,2085287,138396,142464,143896,83328,215357,270201,249017,267999,267472,179869,92486,34802,2085287,1569585,41733,189392,28274,1622,185279,69402,753507,482570,336560,146010,39017,106993,270937,130435,140502,43872,905134,753507,511693,241814,2045402,448461,439143,887604,1157798
"36","04000US36","New York","New York","ny","040","00","ACSSF","0000001",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19651127,19651127,416.98765443444,47126.4000049421,19651127,9536179,10114948,19651127,1170425,1152215,1180714,735908,1992555,2795995,2517362,2817419,2458691,1541599,863140,425104,19651127,12695280,3079582,73231,1554980,9962,1673398,564694,7219356,4584095,3158468,1425627,363987,1061640,2635261,1176007,1459254,57369,8126399,7219356,3873299,3346057,19133973,3055645,3222506,6278151,12855822
"37","04000US37","North Carolina","North Carolina","nc","040","00","ACSSF","0000001",,,,,"37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9848060,9848060,202.560355401617,48617.9044289008,9848060,4795976,5052084,9848060,607482,657564,644390,374732,995782,1269513,1320217,1353614,1220048,826057,414633,164028,9848060,6811501,2121712,112630,238502,6661,320910,236144,3757480,2474802,1786356,688446,168512,519934,1282678,576537,706141,45906,4394515,3757480,2414717,1342763,9588277,1715397,1999993,3715390,5872887
"38","04000US38","North Dakota","North Dakota","nd","040","00","ACSSF","0000001",,,,,"38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723393,723393,10.483835643393,69000.7955681648,723393,369155,354238,723393,47475,43950,44489,24779,94885,101662,81307,90992,91304,51315,33829,17406,723393,643478,10827,40214,9096,371,4620,14787,298298,180213,145079,35134,12969,22165,118085,63076,55009,55759,339293,298298,193389,104909,698199,82398,110268,192666,505533
"39","04000US39","Ohio","Ohio","oh","040","00","ACSSF","0000001",,,,,"39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11570808,11570808,283.176989466021,40860.6928896968,11570808,5658223,5912585,11570808,691663,734250,758542,464331,1116768,1446230,1416469,1634139,1556453,968036,531523,252404,11570808,9541274,1405148,18273,212547,3118,94489,295959,4564745,2923404,2118209,805195,212537,592658,1641341,765698,875643,48081,5124126,4564745,3015795,1548950,11248753,1796942,2067434,3864376,7384377
"40","04000US40","Oklahoma","Oklahoma","ok","040","00","ACSSF","0000001",,,,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3850568,3850568,56.1348860978006,68594.919624338,3850568,1906922,1943646,3850568,262687,272004,262377,150764,396299,522612,472596,493982,469320,313654,168793,65480,3850568,2815708,277016,289909,71433,5486,103571,287445,1447277,956517,702897,253620,72977,180643,490760,232983,257777,45690,1682358,1447277,948540,498737,3735207,626906,831194,1458100,2277107
"41","04000US41","Oregon","Oregon","or","040","00","ACSSF","0000001",,,,,"41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3930065,3930065,40.9432895274896,95988.0128185922,3930065,1946196,1983869,3930065,228403,242753,239750,148622,366494,534850,514966,512733,536898,351758,171261,81577,3930065,3370391,72655,43202,152271,14038,111728,165780,1523799,961197,731763,229434,66409,163025,562602,263218,299384,50251,1684107,1523799,926930,596869,3852871,642138,779295,1421433,2431438
"42","04000US42","Pennsylvania","Pennsylvania","pa","040","00","ACSSF","0000001",,,,,"42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12773801,12773801,285.494616544513,44742.7035739162,12773801,6243308,6530493,12773801,714568,756289,763239,482157,1248038,1600329,1536491,1840649,1742069,1109434,660982,319556,12773801,10427694,1409021,22855,384783,2241,264099,263108,4938894,3152234,2354778,797456,208921,588535,1786660,803476,983184,52007,5565354,4938894,3405170,1533724,12353256,1690405,2148564,3838969,8514287
"44","04000US44","Rhode Island","Rhode Island","ri","040","00","ACSSF","0000001",,,,,"44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1051511,1051511,1017.1179346934,1033.81423543275,1051511,512999,538512,1051511,54201,57148,62970,38528,118708,134876,126983,155074,140159,86172,45473,31219,1051511,846102,67541,4136,33240,531,73059,26902,406366,259863,180930,78933,21210,57723,146503,68841,77662,55902,461658,406366,245409,160957,1010827,144446,158367,302813,708014
"45","04000US45","South Carolina","South Carolina","sc","040","00","ACSSF","0000001",,,,,"45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4774839,4774839,158.83993541809,30060.6959290931,4774839,2321179,2453660,4774839,293643,314315,294133,177229,496703,607844,594855,651143,619867,439093,209220,76794,4774839,3209900,1320131,14297,65048,3137,71578,90748,1794989,1195104,840762,354342,81127,273215,599885,273585,326300,44163,2158784,1794989,1223614,571375,4631801,860380,997094,1857474,2774327
